FIPS,name,hwbi,moe,cn,cn_moe,cf,cf_moe,ed,ed_moe,he,he_moe,lt,lt_moe,ls,ls_moe,ss,ss_moe,sc,sc_moe
12117,"Seminole County, Florida",51.99954435,2.16355274,53.24627158,11.00850021,47.77216076,10.64077791,43.19543442,3.016182666,59.9685613,1.853940823,55.91348329,2.011426918,52.79958957,2.314180874,64.19526963,4.863957019,42.80757423,2.585882769
12119,"Sumter County, Florida",53.62861712,2.811856086,34.7207638,11.67471598,54.05984485,11.81880162,58.84696455,2.839159976,56.93025814,2.059181332,54.8141151,2.013103326,54.89656298,2.165623236,63.38026832,4.967204592,57.04924044,2.796163817
12121,"Suwannee County, Florida",50.68883798,2.179320735,57.86311365,11.3061737,42.82733713,10.00570239,40.29829893,3.242526894,56.64615827,1.987738861,56.82352055,2.146126554,50.64729873,3.964046222,61.73418274,4.899923403,43.36192041,2.736974016
12123,"Taylor County, Florida",49.47635252,2.173956734,57.86311365,11.3110517,41.87691222,10.00679681,40.29079167,3.241608577,58.08252878,1.836539233,56.52570357,2.182929155,48.5123642,3.9679649,55.05631982,5.045665848,41.9418941,2.716969532
12125,"Union County, Florida",52.44009196,2.826663309,34.7207638,11.52360841,46.19461818,10.84888651,62.26643595,3.372833425,57.02660035,2.131821034,50.19293706,2.39679842,52.25130763,4.021230188,66.33891775,5.065943194,57.71480867,2.754113875
12127,"Volusia County, Florida",49.82721925,2.133790583,49.12756064,10.6264688,47.86515209,10.65562742,46.11327464,2.800120353,53.74721945,1.832423474,60.37179424,1.782685911,50.16673193,2.093727325,49.9205191,4.992777811,43.1198868,2.571335656
12129,"Wakulla County, Florida",52.98158205,2.833955361,34.7207638,11.62645811,52.47791193,11.98487149,60.243369,3.259363197,57.8631297,1.981618996,52.70987776,1.960162368,52.4402991,3.939612302,67.00121802,4.823288219,52.78159677,2.648004161
12131,"Walton County, Florida",48.48479212,2.183246182,84.78135263,10.33990746,35.91408867,10.15117378,31.35242848,3.334027867,53.07834638,2.051602582,56.3208303,2.46945382,50.09444124,4.105299911,56.78463082,4.995515739,37.61847186,2.870836805
12133,"Washington County, Florida",49.11318354,2.203883919,57.86311365,11.31481819,40.04545727,10.06573441,40.31984246,3.245001242,54.23600472,2.029911554,56.62209147,2.174462881,48.41855625,3.970157946,56.76538379,4.870585116,42.92811276,2.720470678
13001,"Appling County, Georgia",53.22736262,2.646745274,34.7207638,11.56102755,71.28547716,10.55359342,57.64501798,3.276147906,57.14289159,2.605453771,47.19000761,2.621078821,52.88604771,4.007082834,53.5499626,5.150265344,59.13095957,2.692795338
13003,"Atkinson County, Georgia",54.01160551,2.147597415,84.78135263,10.31416179,42.81689496,10.06486651,55.35877165,3.213187597,54.70800131,3.302090596,49.88009527,3.639287091,48.82792217,3.914235735,55.77856845,5.040329704,48.49321864,3.142644031
13005,"Bacon County, Georgia",48.491787,2.656442214,90,10.42953918,26.98513251,10.16988922,36.8005118,3.257875822,56.04992143,3.198945369,55.80026163,3.618826064,47.47864215,4.186652292,57.26479977,4.887220502,40.22789505,3.178610402
